HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
Prescription Drugs,NA,All,Heavy Metal Antagonists,2017,1.5,0.02,"9,567.85",120.072,0.156,,"9,567.85",120.072,0.156,-0.07,0.047,0.007,-0.077,,0.007,-0.077,0.399,0.027,0.565,-0.106,,0.565,-0.106
Prescription Drugs,NA,All,Heavy Metal Antagonists,2018,1.65,0.02,"11,480.90",122.428,0.144,,"11,480.90",122.428,0.144,0.106,-0.06,0.2,-0.079,,0.2,-0.079,0.547,-0.035,0.878,-0.176,,0.878,-0.176
Prescription Drugs,NA,All,Hormones,2014,150.17,27.61,83.176,15.293,"1,805.39",,83.176,15.29,"1,805.39",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Hormones,2015,170.29,26.96,93.227,14.76,"1,826.63",,93.227,14.76,"1,826.63",0.134,-0.023,0.121,0.012,,0.121,0.012,0.134,-0.023,0.121,0.012,,0.121,0.012
Prescription Drugs,NA,All,Hormones,2016,188.02,27.11,100.574,14.501,"1,869.44",,100.574,14.50,"1,869.44",0.104,0.005,0.079,0.023,,0.079,0.023,0.252,-0.018,0.209,0.035,,0.209,0.035
Prescription Drugs,NA,All,Hormones,2017,206.14,27.49,105.247,14.035,"1,958.63",,105.247,14.04,"1,958.63",0.096,0.014,0.046,0.048,,0.046,0.048,0.373,-0.004,0.265,0.085,,0.265,0.085
Prescription Drugs,NA,All,Hormones,2018,221.96,28.91,110.465,14.39,"2,009.35",,110.465,14.39,"2,009.35",0.077,0.052,0.05,0.026,,0.05,0.026,0.478,0.047,0.328,0.113,,0.328,0.113
Prescription Drugs,NA,All,Metabolic,2014,4.85,1.72,16.155,5.713,300.417,,16.155,5.713,300.417,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Metabolic,2015,5.46,1.63,18.465,5.503,295.925,,18.465,5.503,295.925,0.126,-0.051,0.143,-0.015,,0.143,-0.015,0.126,-0.051,0.143,-0.015,,0.143,-0.015
Prescription Drugs,NA,All,Metabolic,2016,5.8,1.61,19.707,5.466,294.192,,19.707,5.466,294.192,0.061,-0.012,0.067,-0.006,,0.067,-0.006,0.195,-0.063,0.22,-0.021,,0.22,-0.021
Prescription Drugs,NA,All,Metabolic,2017,5.83,1.48,19.218,4.888,303.329,,19.218,4.888,303.329,0.006,-0.078,-0.025,0.031,,-0.025,0.031,0.201,-0.136,0.19,0.01,,0.19,0.01
Prescription Drugs,NA,All,Metabolic,2018,5.56,1.45,18.08,4.71,307.346,,18.08,4.71,307.346,-0.047,-0.024,-0.059,0.013,,-0.059,0.013,0.145,-0.156,0.119,0.023,,0.119,0.023
Prescription Drugs,NA,All,Miscellaneous,2014,18.91,2.48,136.534,17.913,138.531,,136.534,17.913,138.531,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Miscellaneous,2015,21.22,2.38,152.546,17.093,139.107,,152.546,17.093,139.107,0.122,-0.042,0.117,0.004,,0.117,0.004,0.122,-0.042,0.117,0.004,,0.117,0.004
Prescription Drugs,NA,All,Miscellaneous,2016,19.49,2.07,145.331,15.453,134.087,,145.331,15.453,134.087,-0.082,-0.129,-0.047,-0.036,,-0.047,-0.036,0.03,-0.165,0.064,-0.032,,0.064,-0.032
Prescription Drugs,NA,All,Miscellaneous,2017,19.75,2.06,143.184,14.917,137.954,,143.184,14.917,137.954,0.014,-0.007,-0.015,0.029,,-0.015,0.029,0.044,-0.171,0.049,-0.004,,0.049,-0.004
Prescription Drugs,NA,All,Miscellaneous,2018,20.51,2.01,147.557,14.424,139.012,,147.557,14.424,139.012,0.038,-0.026,0.031,0.008,,0.031,0.008,0.084,-0.192,0.081,0.003,,0.081,0.003
Prescription Drugs,NA,All,Respiratory,2014,34.45,6.25,139.257,25.274,247.396,,139.257,25.274,247.396,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Respiratory,2015,39.32,6.03,154.826,23.734,253.982,,154.826,23.734,253.982,0.141,-0.036,0.112,0.027,,0.112,0.027,0.141,-0.036,0.112,0.027,,0.112,0.027
Prescription Drugs,NA,All,Respiratory,2016,45.97,6.58,173.73,24.863,264.632,,173.73,24.863,264.632,0.169,0.091,0.122,0.042,,0.122,0.042,0.334,0.052,0.248,0.07,,0.248,0.07
Prescription Drugs,NA,All,Respiratory,2017,51.76,7.12,184.967,25.451,279.834,,184.967,25.451,279.834,0.126,0.082,0.065,0.057,,0.065,0.057,0.502,0.139,0.328,0.131,,0.328,0.131
Prescription Drugs,NA,All,Respiratory,2018,58.08,7.5,203.859,26.317,284.886,,203.859,26.317,284.886,0.122,0.053,0.102,0.018,,0.102,0.018,0.686,0.199,0.464,0.152,,0.464,0.152
Prescription Drugs,NA,All,Rheumatoid Arthritis,2014,62.82,3.02,"2,762.52",132.767,22.739,,"2,762.52",132.767,22.739,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Rheumatoid Arthritis,2015,80.24,3.6,"3,321.50",149.116,24.159,,"3,321.50",149.116,24.159,0.277,0.193,0.202,0.062,,0.202,0.062,0.277,0.193,0.202,0.062,,0.202,0.062
Prescription Drugs,NA,All,Rheumatoid Arthritis,2016,103.23,4.01,"3,996.30",155.26,25.831,,"3,996.30",155.26,25.831,0.286,0.113,0.203,0.069,,0.203,0.069,0.643,0.328,0.447,0.136,,0.447,0.136
Prescription Drugs,NA,All,Rheumatoid Arthritis,2017,127.07,4.79,"4,472.36",168.716,28.411,,"4,472.36",168.716,28.411,0.231,0.195,0.119,0.1,,0.119,0.1,1.023,0.588,0.619,0.249,,0.619,0.249
Prescription Drugs,NA,All,Rheumatoid Arthritis,2018,144.17,5.79,"4,784.63",192.263,30.132,,"4,784.63",192.263,30.132,0.135,0.209,0.07,0.061,,0.07,0.061,1.295,0.919,0.732,0.325,,0.732,0.325
Prescription Drugs,NA,All,Skin,2014,45.99,7.44,216.231,34.976,212.704,,216.231,34.976,212.704,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Skin,2015,55.28,8.43,262.409,40.027,210.65,,262.409,40.027,210.65,0.202,0.133,0.214,-0.01,,0.214,-0.01,0.202,0.133,0.214,-0.01,,0.214,-0.01
Prescription Drugs,NA,All,Skin,2016,60.97,8.57,300.185,42.172,203.121,,300.185,42.172,203.121,0.103,0.016,0.144,-0.036,,0.144,-0.036,0.326,0.151,0.388,-0.045,,0.388,-0.045
Prescription Drugs,NA,All,Skin,2017,67.49,8.57,334.595,42.502,201.72,,334.595,42.502,201.72,0.107,0.001,0.115,-0.007,,0.115,-0.007,0.467,0.152,0.547,-0.052,,0.547,-0.052
Prescription Drugs,NA,All,Skin,2018,81.34,8.94,398.119,43.736,204.308,,398.119,43.736,204.308,0.205,0.042,0.19,0.013,,0.19,0.013,0.768,0.201,0.841,-0.039,,0.841,-0.039
Prescription Drugs,NA,All,Smooth Muscle Relaxants,2014,2.76,0.62,103.434,23.229,26.655,,103.434,23.229,26.655,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Smooth Muscle Relaxants,2015,2.63,0.56,101.734,21.788,25.83,,101.734,21.788,25.83,-0.047,-0.091,-0.016,-0.031,,-0.016,-0.031,-0.047,-0.091,-0.016,-0.031,,-0.016,-0.031
Prescription Drugs,NA,All,Smooth Muscle Relaxants,2016,2.75,0.57,108.859,22.411,25.264,,108.859,22.411,25.264,0.047,0.006,0.07,-0.022,,0.07,-0.022,-0.002,-0.086,0.052,-0.052,,0.052,-0.052
Prescription Drugs,NA,All,Smooth Muscle Relaxants,2017,2.85,0.57,110.867,22.29,25.692,,110.867,22.29,25.692,0.036,0.011,0.018,0.017,,0.018,0.017,0.033,-0.075,0.072,-0.036,,0.072,-0.036
Prescription Drugs,NA,All,Smooth Muscle Relaxants,2018,2.75,0.57,108.386,22.502,25.406,,108.386,22.502,25.406,-0.033,-0.002,-0.022,-0.011,,-0.022,-0.011,-0.001,-0.077,0.048,-0.047,,0.048,-0.047
Prescription Drugs,NA,All,Vaccines,2014,1.38,0.05,"1,383.23",52.879,0.999,,"1,383.23",52.879,0.999,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Vaccines,2015,1.47,0.06,"1,376.10",56.318,1.068,,"1,376.10",56.318,1.068,0.063,0.138,-0.005,0.069,,-0.005,0.069,0.063,0.138,-0.005,0.069,,-0.005,0.069
Prescription Drugs,NA,All,Vaccines,2016,1.52,0.06,"1,562.51",63.939,0.974,,"1,562.51",63.939,0.974,0.036,0.036,0.135,-0.088,,0.135,-0.088,0.101,0.179,0.13,-0.025,,0.13,-0.025
Prescription Drugs,NA,All,Vaccines,2017,1.61,0.06,"1,607.25",61.713,0.999,,"1,607.25",61.713,0.999,0.055,-0.01,0.029,0.026,,0.029,0.026,0.162,0.167,0.162,0,,0.162,0
Prescription Drugs,NA,All,Vaccines,2018,2.21,0.07,"1,055.70",34.919,2.089,,"1,055.70",34.919,2.089,0.373,0.183,-0.343,1.091,,-0.343,1.091,0.596,0.381,-0.237,1.091,,-0.237,1.091
Prescription Drugs,NA,All,Vitamins,2014,2.64,1.13,21.359,9.163,123.534,,21.359,9.163,123.534,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Vitamins,2015,2.86,1.1,22.759,8.779,125.808,,22.759,8.779,125.808,0.085,-0.024,0.066,0.018,,0.066,0.018,0.085,-0.024,0.066,0.018,,0.066,0.018
Prescription Drugs,NA,All,Vitamins,2016,2.42,1.04,19.261,8.268,125.534,,19.261,8.268,125.534,-0.156,-0.06,-0.154,-0.002,,-0.154,-0.002,-0.084,-0.083,-0.098,0.016,,-0.098,0.016
Prescription Drugs,NA,All,Vitamins,2017,2.35,0.9,18.252,7.007,128.566,,18.252,7.007,128.566,-0.029,-0.132,-0.052,0.024,,-0.052,0.024,-0.111,-0.204,-0.145,0.041,,-0.145,0.041
Prescription Drugs,NA,All,Vitamins,2018,2.35,0.82,18.05,6.289,130.424,,18.05,6.289,130.424,0.003,-0.09,-0.011,0.014,,-0.011,0.014,-0.108,-0.275,-0.155,0.056,,-0.155,0.056
Prescription Drugs,NA,Brand,All Prescription Drugs,2014,634.18,76.26,387.743,46.628,"1,635.56",,387.743,46.63,"1,635.56",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,All Prescription Drugs,2015,708.5,72.14,476.424,48.508,"1,487.13",,476.424,48.51,"1,487.13",0.117,-0.054,0.229,-0.091,,0.229,-0.091,0.117,-0.054,0.229,-0.091,,0.229,-0.091
Prescription Drugs,NA,Brand,All Prescription Drugs,2016,759.34,70.24,547.531,50.65,"1,386.84",,547.531,50.65,"1,386.84",0.072,-0.026,0.149,-0.067,,0.149,-0.067,0.197,-0.079,0.412,-0.152,,0.412,-0.152
Prescription Drugs,NA,Brand,All Prescription Drugs,2017,808.7,68.55,648.112,54.937,"1,247.77",,648.112,54.94,"1,247.77",0.065,-0.024,0.184,-0.1,,0.184,-0.1,0.275,-0.101,0.671,-0.237,,0.671,-0.237
Prescription Drugs,NA,Brand,All Prescription Drugs,2018,871.2,69.98,722.541,58.036,"1,205.75",,722.541,58.04,"1,205.75",0.077,0.021,0.115,-0.034,,0.115,-0.034,0.374,-0.082,0.863,-0.263,,0.863,-0.263
Prescription Drugs,NA,Brand,Anti-Infectives,2014,84.1,5.14,"1,739.88",106.275,48.339,,"1,739.88",106.275,48.339,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Anti-Infectives,2015,105.07,5.4,"2,341.20",120.429,44.878,,"2,341.20",120.429,44.878,0.249,0.052,0.346,-0.072,,0.346,-0.072,0.249,0.052,0.346,-0.072,,0.346,-0.072
Prescription Drugs,NA,Brand,Anti-Infectives,2016,94.61,4.96,"2,265.65",118.879,41.759,,"2,265.65",118.879,41.759,-0.1,-0.081,-0.032,-0.07,,-0.032,-0.07,0.125,-0.034,0.302,-0.136,,0.302,-0.136
Prescription Drugs,NA,Brand,Anti-Infectives,2017,90.58,4.52,"2,303.97",115.031,39.315,,"2,303.97",115.031,39.315,-0.043,-0.089,0.017,-0.059,,0.017,-0.059,0.077,-0.12,0.324,-0.187,,0.324,-0.187
Prescription Drugs,NA,Brand,Anti-Infectives,2018,89.62,4.74,"2,394.57",126.56,37.426,,"2,394.57",126.56,37.426,-0.011,0.047,0.039,-0.048,,0.039,-0.048,0.066,-0.078,0.376,-0.226,,0.376,-0.226
Prescription Drugs,NA,Brand,Antihistamines,2014,0.13,0.05,102.541,37.013,1.277,,102.541,37.013,1.277,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Antihistamines,2015,0.1,0.04,108.26,38.114,0.959,,108.26,38.114,0.959,-0.207,-0.226,0.056,-0.249,,0.056,-0.249,-0.207,-0.226,0.056,-0.249,,0.056,-0.249
Prescription Drugs,NA,Brand,Antihistamines,2016,0.11,0.04,106.536,35.492,0.991,,106.536,35.492,0.991,0.017,-0.038,-0.016,0.034,,-0.016,0.034,-0.193,-0.255,0.039,-0.223,,0.039,-0.223
Prescription Drugs,NA,Brand,Antihistamines,2017,0.09,0.03,95.204,30.898,0.965,,95.204,30.898,0.965,-0.13,-0.153,-0.106,-0.027,,-0.106,-0.027,-0.298,-0.369,-0.072,-0.244,,-0.072,-0.244
Prescription Drugs,NA,Brand,Antihistamines,2018,0.07,0.02,75.527,24.906,0.99,,75.527,24.906,0.99,-0.186,-0.173,-0.207,0.026,,-0.207,0.026,-0.429,-0.478,-0.263,-0.225,,-0.263,-0.225
Prescription Drugs,NA,Brand,Autonomic,2014,12.42,3.83,109.366,33.695,113.583,,109.366,33.695,113.583,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Autonomic,2015,13.99,3.7,120.51,31.85,116.121,,120.51,31.85,116.121,0.127,-0.034,0.102,0.022,,0.102,0.022,0.127,-0.034,0.102,0.022,,0.102,0.022
Prescription Drugs,NA,Brand,Autonomic,2016,13.95,3.82,124.53,34.064,112.056,,124.53,34.064,112.056,-0.003,0.032,0.033,-0.035,,0.033,-0.035,0.123,-0.003,0.139,-0.013,,0.139,-0.013
Prescription Drugs,NA,Brand,Autonomic,2017,17.01,4.51,148.927,39.444,114.222,,148.927,39.444,114.222,0.219,0.18,0.196,0.019,,0.196,0.019,0.369,0.177,0.362,0.006,,0.362,0.006
Prescription Drugs,NA,Brand,Autonomic,2018,19.36,4.67,168.644,40.652,114.79,,168.644,40.652,114.79,0.138,0.036,0.132,0.005,,0.132,0.005,0.558,0.219,0.542,0.011,,0.542,0.011
Prescription Drugs,NA,Brand,Bio Response Modifiers,2014,46.56,1.36,"5,209.21",151.862,8.937,,"5,209.21",151.862,8.937,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Bio Response Modifiers,2015,51.56,1.48,"5,748.78",165.312,8.969,,"5,748.78",165.312,8.969,0.107,0.092,0.104,0.004,,0.104,0.004,0.107,0.092,0.104,0.004,,0.104,0.004
Prescription Drugs,NA,Brand,Bio Response Modifiers,2016,54.68,1.47,"6,373.83",170.778,8.579,,"6,373.83",170.778,8.579,0.06,-0.012,0.109,-0.044,,0.109,-0.044,0.174,0.079,0.224,-0.04,,0.224,-0.04
Prescription Drugs,NA,Brand,Bio Response Modifiers,2017,58.77,1.54,"6,899.44",180.421,8.518,,"6,899.44",180.421,8.518,0.075,0.049,0.082,-0.007,,0.082,-0.007,0.262,0.132,0.324,-0.047,,0.324,-0.047
Prescription Drugs,NA,Brand,Bio Response Modifiers,2018,56.64,1.58,"7,270.03",202.375,7.791,,"7,270.03",202.375,7.791,-0.036,0.026,0.054,-0.085,,0.054,-0.085,0.217,0.162,0.396,-0.128,,0.396,-0.128
Prescription Drugs,NA,Brand,Blood,2014,17,0.99,761.255,44.322,22.327,,761.255,44.322,22.327,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Blood,2015,21.24,1.2,800.67,45.179,26.533,,800.67,45.179,26.533,0.25,0.211,0.052,0.188,,0.052,0.188,0.25,0.211,0.052,0.188,,0.052,0.188
Prescription Drugs,NA,Brand,Blood,2016,24.68,1.52,791.164,48.666,31.199,,791.164,48.666,31.199,0.162,0.267,-0.012,0.176,,-0.012,0.176,0.452,0.534,0.039,0.397,,0.039,0.397
Prescription Drugs,NA,Brand,Blood,2017,27.29,1.92,749.305,52.848,36.415,,749.305,52.848,36.415,0.105,0.267,-0.053,0.167,,-0.053,0.167,0.605,0.945,-0.016,0.631,,-0.016,0.631
Prescription Drugs,NA,Brand,Blood,2018,29.39,2.22,741.82,56.116,39.622,,741.82,56.116,39.622,0.077,0.155,-0.01,0.088,,-0.01,0.088,0.729,1.247,-0.026,0.775,,-0.026,0.775
Prescription Drugs,NA,Brand,Cardiovascular,2014,50.5,11.39,178.225,40.188,283.325,,178.225,40.188,283.325,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Cardiovascular,2015,47.67,9.6,205.985,41.489,231.414,,205.985,41.489,231.414,-0.056,-0.157,0.156,-0.183,,0.156,-0.183,-0.056,-0.157,0.156,-0.183,,0.156,-0.183
Prescription Drugs,NA,Brand,Cardiovascular,2016,42.03,8.07,240.998,46.256,174.397,,240.998,46.256,174.397,-0.118,-0.16,0.17,-0.246,,0.17,-0.246,-0.168,-0.292,0.352,-0.384,,0.352,-0.384
Prescription Drugs,NA,Brand,Cardiovascular,2017,25.55,4.92,284.329,54.722,89.868,,284.329,54.722,89.868,-0.392,-0.39,0.18,-0.485,,0.18,-0.485,-0.494,-0.568,0.595,-0.683,,0.595,-0.683
Prescription Drugs,NA,Brand,Cardiovascular,2018,19.16,3.43,308.115,55.138,62.188,,308.115,55.138,62.188,-0.25,-0.303,0.084,-0.308,,0.084,-0.308,-0.621,-0.699,0.729,-0.781,,0.729,-0.781
Prescription Drugs,NA,Brand,Central Nervous System,2014,95.15,14.16,370.485,55.135,256.829,,370.485,55.135,256.829,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Central Nervous System,2015,89.65,12.79,406.909,58.034,220.327,,406.909,58.034,220.327,-0.058,-0.097,0.098,-0.142,,0.098,-0.142,-0.058,-0.097,0.098,-0.142,,0.098,-0.142
Prescription Drugs,NA,Brand,Central Nervous System,2016,91.04,12.55,434.755,59.937,209.408,,434.755,59.937,209.408,0.015,-0.018,0.068,-0.05,,0.068,-0.05,-0.043,-0.114,0.173,-0.185,,0.173,-0.185
Prescription Drugs,NA,Brand,Central Nervous System,2017,88.38,12.09,462.033,63.217,191.282,,462.033,63.217,191.282,-0.029,-0.037,0.063,-0.087,,0.063,-0.087,-0.071,-0.146,0.247,-0.255,,0.247,-0.255
Prescription Drugs,NA,Brand,Central Nervous System,2018,89.04,11.69,493.344,64.766,180.482,,493.344,64.766,180.482,0.007,-0.033,0.068,-0.056,,0.068,-0.056,-0.064,-0.175,0.332,-0.297,,0.332,-0.297
Prescription Drugs,NA,Brand,Chemotherapy,2014,27.8,0.47,"7,123.61",120.599,3.903,,"7,123.61",120.599,3.903,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Chemotherapy,2015,33.33,0.45,"8,241.10",111.916,4.045,,"8,241.10",111.916,4.045,0.199,-0.038,0.157,0.036,,0.157,0.036,0.199,-0.038,0.157,0.036,,0.157,0.036
Prescription Drugs,NA,Brand,Chemotherapy,2016,41.15,0.53,"8,620.55",110.723,4.773,,"8,620.55",110.723,4.773,0.234,0.167,0.046,0.18,,0.046,0.18,0.48,0.123,0.21,0.223,,0.21,0.223
Prescription Drugs,NA,Brand,Chemotherapy,2017,47.48,0.5,"9,463.65",100.442,5.017,,"9,463.65",100.442,5.017,0.154,-0.046,0.098,0.051,,0.098,0.051,0.708,0.071,0.328,0.286,,0.328,0.286
Prescription Drugs,NA,Brand,Chemotherapy,2018,57.4,0.63,"10,442.66",114.136,5.497,,"10,442.66",114.136,5.497,0.209,0.245,0.103,0.096,,0.103,0.096,1.065,0.333,0.466,0.408,,0.466,0.408
Prescription Drugs,NA,Brand,Devices,2014,0.47,0.07,531.507,74.232,0.883,,531.507,74.232,0.883,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Devices,2015,0.64,0.08,736.735,86.299,0.874,,736.735,86.299,0.874,0.372,0.151,0.386,-0.01,,0.386,-0.01,0.372,0.151,0.386,-0.01,,0.386,-0.01
Prescription Drugs,NA,Brand,Devices,2016,0.54,0.07,767.441,100.056,0.706,,767.441,100.056,0.706,-0.159,-0.064,0.042,-0.192,,0.042,-0.192,0.154,0.077,0.444,-0.201,,0.444,-0.201
Prescription Drugs,NA,Brand,Devices,2017,0.79,0.09,"1,268.63",138.492,0.625,,"1,268.63",138.492,0.625,0.463,0.225,0.653,-0.115,,0.653,-0.115,0.689,0.32,1.387,-0.292,,1.387,-0.292
Prescription Drugs,NA,Brand,Devices,2018,0.86,0.1,"1,446.38",174.746,0.592,,"1,446.38",174.746,0.592,0.079,0.195,0.14,-0.053,,0.14,-0.053,0.823,0.577,1.721,-0.33,,1.721,-0.33
Prescription Drugs,NA,Brand,Diagnostic,2014,2.03,0.02,"30,468.56",282.775,0.067,,"30,468.56",282.775,0.067,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Diagnostic,2015,1.39,0.01,"30,336.76",319.6,0.046,,"30,336.76",319.6,0.046,-0.317,-0.224,-0.004,-0.314,,-0.004,-0.314,-0.317,-0.224,-0.004,-0.314,,-0.004,-0.314
Prescription Drugs,NA,Brand,Diagnostic,2016,1.97,0.01,"47,351.79",321.189,0.042,,"47,351.79",321.189,0.042,0.417,-0.087,0.561,-0.092,,0.561,-0.092,-0.031,-0.292,0.554,-0.377,,0.554,-0.377
Prescription Drugs,NA,Brand,Diagnostic,2017,1.39,0.01,"46,142.12",478.711,0.03,,"46,142.12",478.711,0.03,-0.292,0.083,-0.026,-0.273,,-0.026,-0.273,-0.314,-0.233,0.514,-0.547,,0.514,-0.547
Prescription Drugs,NA,Brand,Diagnostic,2018,1.14,0.01,"44,585.08",412.787,0.026,,"44,585.08",412.787,0.026,-0.181,-0.269,-0.034,-0.152,,-0.034,-0.152,-0.438,-0.439,0.463,-0.616,,0.463,-0.616
Prescription Drugs,NA,Brand,EENT,2014,13.82,3.69,203.063,54.222,68.057,,203.063,54.222,68.057,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,EENT,2015,12.87,3.05,246.279,58.396,52.263,,246.279,58.396,52.263,-0.069,-0.173,0.213,-0.232,,0.213,-0.232,-0.069,-0.173,0.213,-0.232,,0.213,-0.232
Prescription Drugs,NA,Brand,EENT,2016,11.31,2.65,282.535,66.275,40.044,,282.535,66.275,40.044,-0.121,-0.13,0.147,-0.234,,0.147,-0.234,-0.181,-0.281,0.391,-0.412,,0.391,-0.412
Prescription Drugs,NA,Brand,EENT,2017,11.19,2.52,320.32,72.166,34.939,,320.32,72.166,34.939,-0.011,-0.05,0.134,-0.127,,0.134,-0.127,-0.19,-0.317,0.577,-0.487,,0.577,-0.487
Prescription Drugs,NA,Brand,EENT,2018,11.36,2.45,358.077,77.205,31.713,,358.077,77.205,31.713,0.015,-0.029,0.118,-0.092,,0.118,-0.092,-0.178,-0.337,0.763,-0.534,,0.763,-0.534
Prescription Drugs,NA,Brand,Enzymes,2014,1,0.02,"15,904.95",250.938,0.063,,"15,904.95",250.938,0.063,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Enzymes,2015,1.02,0.01,"15,704.24",220.314,0.065,,"15,704.24",220.314,0.065,0.02,-0.093,-0.013,0.034,,-0.013,0.034,0.02,-0.093,-0.013,0.034,,-0.013,0.034
Prescription Drugs,NA,Brand,Enzymes,2016,1.97,0.02,"23,538.66",213.433,0.084,,"23,538.66",213.433,0.084,0.929,0.247,0.499,0.287,,0.499,0.287,0.968,0.131,0.48,0.33,,0.48,0.33
Prescription Drugs,NA,Brand,Enzymes,2017,2.27,0.02,"28,490.50",241.519,0.08,,"28,490.50",241.519,0.08,0.156,0.081,0.21,-0.045,,0.21,-0.045,1.275,0.223,0.791,0.27,,0.791,0.27
Prescription Drugs,NA,Brand,Enzymes,2018,2.41,0.03,"26,877.72",289.26,0.09,,"26,877.72",289.26,0.09,0.059,0.345,-0.057,0.123,,-0.057,0.123,1.41,0.644,0.69,0.426,,0.69,0.426
Prescription Drugs,NA,Brand,Gastrointestinal,2014,28.32,4.29,337.511,51.112,83.897,,337.511,51.112,83.897,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Gastrointestinal,2015,24.14,3.47,409.934,58.855,58.884,,409.934,58.855,58.884,-0.148,-0.192,0.215,-0.298,,0.215,-0.298,-0.148,-0.192,0.215,-0.298,,0.215,-0.298
Prescription Drugs,NA,Brand,Gastrointestinal,2016,24.82,3.22,482.677,62.552,51.412,,482.677,62.552,51.412,0.028,-0.072,0.177,-0.127,,0.177,-0.127,-0.124,-0.25,0.43,-0.387,,0.43,-0.387
Prescription Drugs,NA,Brand,Gastrointestinal,2017,25.21,2.99,541.067,64.286,46.587,,541.067,64.286,46.587,0.016,-0.069,0.121,-0.094,,0.121,-0.094,-0.11,-0.302,0.603,-0.445,,0.603,-0.445
Prescription Drugs,NA,Brand,Gastrointestinal,2018,24.97,2.8,587.229,65.777,42.53,,587.229,65.777,42.53,-0.009,-0.066,0.085,-0.087,,0.085,-0.087,-0.118,-0.348,0.74,-0.493,,0.74,-0.493
Prescription Drugs,NA,Brand,Heavy Metal Antagonists,2014,1.04,0.02,"6,752.21",109.118,0.155,,"6,752.21",109.118,0.155,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Heavy Metal Antagonists,2015,1.34,0.02,"9,223.40",114.8,0.145,,"9,223.40",114.8,0.145,0.283,-0.012,0.366,-0.061,,0.366,-0.061,0.283,-0.012,0.366,-0.061,,0.366,-0.061
Prescription Drugs,NA,Brand,Heavy Metal Antagonists,2016,1.52,0.02,"10,079.97",111.735,0.151,,"10,079.97",111.735,0.151,0.135,0.011,0.093,0.039,,0.093,0.039,0.456,-0.001,0.493,-0.025,,0.493,-0.025
Prescription Drugs,NA,Brand,Heavy Metal Antagonists,2017,1.39,0.02,"9,859.38",124.702,0.141,,"9,859.38",124.702,0.141,-0.085,0.044,-0.022,-0.064,,-0.022,-0.064,0.333,0.043,0.46,-0.087,,0.46,-0.087
Prescription Drugs,NA,Brand,Heavy Metal Antagonists,2018,1.47,0.02,"11,050.86",127.822,0.133,,"11,050.86",127.822,0.133,0.054,-0.036,0.121,-0.06,,0.121,-0.06,0.404,0.005,0.637,-0.142,,0.637,-0.142
Prescription Drugs,NA,Brand,Hormones,2014,120.74,18.64,224.711,34.694,537.296,,224.711,34.694,537.296,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Hormones,2015,142.63,18.06,272.582,34.517,523.273,,272.582,34.517,523.273,0.181,-0.031,0.213,-0.026,,0.213,-0.026,0.181,-0.031,0.213,-0.026,,0.213,-0.026
